Filepath	Title	Performers
./2014/20140829_London/T187.WAV	20140829_London_Act 2	Michael Feinstein
./2014/20140906_Pasadena/pasadena/T104_Pasadena1.WAV	20140906_Pasadena_Act 1_copy	Michael Feinstein
./2014/20140906_Pasadena/pasadena/T105_pasadena2.WAV	20140906_Pasadena_Act 2_copy	Michael Feinstein
./2014/20140906_Pasadena/T188.WAV	20140906_Pasadena_Act 1	Michael Feinstein
./2014/20140906_Pasadena/T190.WAV	20140906_Pasadena_Act 2	Michael Feinstein
./2014/20140912_PalosVerdes_trio/T191.WAV	20140912_PalosVerdes_trio_act 1	Michael Feinstein
./2014/20140912_PalosVerdes_trio/T192.WAV	20140912_PalosVerdes_trio_act 2	Michael Feinstein
./2014/20140921_MontereryJazzFest/T193.WAV	20140921_MontereryJazzFest_Interview	Michael Feinstein
./2014/20140921_MontereryJazzFest/T194.WAV	20140921_MontereryJazzFest_Show	Michael Feinstein
./2014/20140927_witchita symphony/T205.WAV	20140927_witchita symphony_Act 1	Michael Feinstein
./2014/20140927_witchita symphony/T206.WAV	20140927_witchita symphony_Act 2	Michael Feinstein
./2014/20140928_SonomaBigband/T207.WAV	20140928_SonomaBigband_rehearsal	Michael Feinstein
./2014/20140928_SonomaBigband/T208.WAV	20140928_SonomaBigband_	Michael Feinstein
./2014/20140928_SonomaBigband 2/T209.WAV	20140928_SonomaBigband_	Michael Feinstein
./2014/20141012_StamfordCT_trio/T209.WAV	20141012_StamfordCT_trio	Michael Feinstein
./2014/20141017_18_Ottawa/T210.WAV	20141016_Ottawa Symphony_Rehearsal1	Michael Feinstein
./2014/20141017_18_Ottawa/T211.WAV	20141016_Ottawa Symphony_Rehearsal2	Michael Feinstein
./2014/20141017_18_Ottawa/T212.WAV	20141016_Ottawa Symphony_Rehearsal3	Michael Feinstein
./2014/20141017_18_Ottawa/T213.WAV	20141016_Ottawa Symphony_act 1	Michael Feinstein
./2014/20141017_18_Ottawa/T214.WAV	20141016_Ottawa Symphony_act 2	Michael Feinstein
./2014/20141017_18_Ottawa/T215.WAV	20141017_Ottawa Symphony_Act 1	Michael Feinstein
./2014/20141017_18_Ottawa/T216.WAV	20141017_Ottawa Symphony_Act 2	Michael Feinstein
./2014/20141017_18_Ottawa/T217.WAV	20141018_Ottawa Symphony_act1	Michael Feinstein
./2014/20141017_18_Ottawa/T218.WAV	20141018_Ottawa Symphony_act2	Michael Feinstein
./2014/20141101_Boston/T219.WAV	20141101_BostonMA	Michael Feinstein
./2014/20141113_LasVegas/T220.WAV	20141113_LasVegasNV_Rehearsal1	Michael Feinstein
./2014/20141113_LasVegas/T221.WAV	20141113_LasVegasNV_Rehearsal2	Michael Feinstein
./2014/20141113_LasVegas/T222.WAV	20141113_LasVegasNV	Michael Feinstein
./2014/20141121_ConcordNH_combo/T223.WAV	20141121_ConcordNH_combo	Michael Feinstein
./2014/20141122_CarmelMFI_Event/T224.WAV	20141122_CarmelIN_MFI_Event_1	Michael Feinstein
./2014/20141122_CarmelMFI_Event/T225.WAV	20141122_CarmelIN_MFI_Event_2	Michael Feinstein
./2014/20141207_SFXmas_Boone/T226.WAV	20141207_SanFransiscoCA_Xmas_Boone_Act 1	Michael Feinstein and Debby Boone
./2014/20141207_SFXmas_Boone/T227.WAV	20141207_SanFransiscoCA_Xmas_Boone_Act 2	Michael Feinstein and Debby Boone
./2014/20141210_BostonPops/20141210_Act2pt1_T230.WAV	20141210_BostonPops_Act2pt1	Michael Feinstein
./2014/20141210_BostonPops/20141210_Act2pt2_T231.WAV	20141210_BostonPops_Act2pt2	Michael Feinstein
./2014/20141210_BostonPops/20141210_bostonpopsAct1_T229.WAV	20141210_bostonpops_Act1	Michael Feinstein
./2014/20141210_BostonPops/20141210_rehearsal_T228.WAV	20141210_bostonpops_rehearsals	Michael Feinstein
./2014/20141212_cerrtiotXmas_boone/T232.WAV	20141212_cerrtiosCA_Xmas_boone_rehearsal	Michael Feinstein and Debby Boone
./2014/20141212_cerrtiotXmas_boone/T233.WAV	20141212_cerrtiosCA_Xmas_boone_rehearsal	Michael Feinstein and Debby Boone
./2014/20141212_cerrtiotXmas_boone/T234.WAV	20141212_cerrtiosCA_Xmas_boone_act 1	Michael Feinstein and Debby Boone
./2014/20141212_cerrtiotXmas_boone/T235.WAV	20141212_cerrtiosCA_Xmas_boone_act 2	Michael Feinstein and Debby Boone
./2014/20141214_detroitcombo/T236.WAV	20141214_detroitMI_combo_Act 1	Michael Feinstein
./2014/20141214_detroitcombo/T237.WAV	20141214_detroitMI_combo_Act 2	Michael Feinstein
./2014/20141216_Birdland/T239.WAV	20141217_Birdland	Michael Feinstein
./2014/20141216_Birdland/T240.WAV	20141218_Birdland	Michael Feinstein
./2014/20141216_Birdland/T242.WAV	20141219_Birdland_Late	Michael Feinstein
./2014/20141216_Birdland/T243.WAV	20141220_Birdland	Michael Feinstein
./2014/20141216_Birdland/T244.WAV	20141220_Birdland_late	Michael Feinstein
./2014/20141216_Birdland/T245.WAV	20141220_Birdland_late late	Michael Feinstein
./2014/20141216_Birdland/T246.WAV	20141223_Birdland	Michael Feinstein
./2014/20141216_Birdland/T248.WAV	20141225_Birdland	Michael Feinstein
